"ISO4026def"
"ISO4027def"
"ISO4029def"
"Dia","P","t","dp","dt","df","s"
"M1.4",0.3,1,0.7,0.32,1.2,0.7
"M1.6",0.35,1.1,0.8,0.36,1.3,0.7
"(M1.8)",0.35,1.2,0.9,0.4,1.4,0.7
"M2",0.4,1.25,1,0.45,1.5,0.9
"M2.5",0.45,1.6,1.5,0.56,2,1.3
"M3",0.5,1.6,2,0.68,2.4,1.5
"M4",0.7,2,2.5,0.9,3.2,2
"M5",0.8,2.5,3.5,1.1,4.1,2.5
"M6",1,2.75,4,1.2,4.9,3
"M8",1.25,4,5.5,1.7,6.6,4
"M10",1.5,5,7,2.2,8.3,5
"M12",1.75,6.4,8.5,2.7,10.1,6
"(M14)",2,7.3,10,3.6,11.8,6
"M16",2,8.2,12,3.6,13.8,8
"(M18)",2.5,9.1,13,4.6,15,10
"M20",2.5,10,15,4.6,17.2,10
"(M22)",2.5,11.25,17,5.6,19.2,12
"M24",3,12.5,18,5.6,20.1,12

"ISO4026length"
"ISO4027length"
"ISO4029length"
"Nominal","Min","Max"
"2",1.8,2.2
"2.5",2.3,2.7
"3",2.8,3.2
"3.5",3.26,3.74
"4",3.76,4.24
"5",4.76,5.24
"6",5.76,6.24
"8",7.71,8.29
"10",9.71,10.29
"12",11.65,12.35
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.4
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.4,55.6
"60",59.4,60.6

"ISO4026range"
"ISO4027range"
"ISO4029range"
"Dia","Min_L","Max_L"
"M1.4","2","5"
"M1.6","2","5"
"(M1.8)","2","5"
"M2","3","10"
"M2.5","3","10"
"M3","3","20"
"M4","4","20"
"M5","5","25"
"M6","6","35"
"M8","8","40"
"M10","10","40"
"M12","16","40"
"(M14)","16","40"
"M16","20","40"
"(M18)","20","45"
"M20","20","50"
"(M22)","20","55"
"M24","25","60"
