"ISO8751def"
"Dia","d_1","d_2","a","s"
"1.2 mm",1.685,1.4,0.5,0.08
"2 mm",2.205,1.9,0.7,0.11
"2.5 mm",2.735,2.4,0.7,0.14
"3 mm",3.25,2.9,0.9,0.17
"3.5 mm",3.77,3.4,1,0.19
"4 mm",4.325,3.9,1.1,0.22
"5 mm",5.35,4.85,1.3,0.28
"6 mm",6.4,5.85,1.5,0.33
"8 mm",8.475,7.8,2,0.45

"ISO8751length"
"nom","min","max"
"4",3.75,4.25
"5",4.75,5.25
"6",5.75,6.25
"8",7.75,8.25
"10",9.75,10.25
"12",11.5,12.5
"14",13.5,14.5
"16",15.5,16.5
"18",17.5,18.5
"20",19.5,20.5
"22",21.5,22.5
"24",23.5,24.5
"26",25.5,26.5
"28",27.5,28.5
"30",29.5,30.5
"32",31.5,32.5
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.25,55.75
"60",59.25,60.75
"65",64.25,65.75
"70",69.25,70.75
"75",74.25,75.75
"80",79.25,80.75
"85",84.25,85.75
"90",89.25,90.75
"95",94.25,95.75
"100",99.25,100.75
"120",119.25,120.75

"ISO8751range"
"Dia","min_L","max_L"
"1.2 mm","4","24"
"2 mm","4","40"
"2.5 mm","5","45"
"3 mm","5","50"
"3.5 mm","5","50"
"4 mm","8","60"
"5 mm","10","60"
"6 mm","12","75"
"8 mm","16","120"
