"DIN84def"
"Dia","P","a","b","dk","dk_mean","da","k","n_min","r","t_min","x"
"M1",0.25,0.5,25,2,1.93,1.4,0.7,0.31,0.1,0.25,0.6
"M1.2",0.25,0.5,25,2.3,2.23,1.6,0.8,0.36,0.1,0.3,0.6
"M1.4",0.3,0.6,25,2.6,2.5,1.8,0.9,0.36,0.1,0.4,0.75
"M1.6",0.35,0.7,25.0,3.0,2.9,2.0,1.0,0.46,0.1,0.45,0.9
"(M1.8)",0.35,0.7,25,3.4,3.31,2.2,1.2,0.46,0.1,0.5,0.9
"M2",0.4,0.8,25.0,3.8,3.7,2.6,1.3,0.56,0.1,0.6,1.0
"M2.5",0.45,0.9,25.0,4.5,4.4,3.1,1.6,0.66,0.1,0.7,1.1
"M3",0.5,1.0,25.0,5.5,5.4,3.6,2.0,0.86,0.1,0.85,1.25
"(M3.5)",0.6,1.2,38.0,6.0,5.9,4.1,2.4,1.06,0.1,1.0,1.5
"M4",0.7,1.4,38.0,7.0,6.9,4.7,2.6,1.26,0.2,1.1,1.75
"M5",0.8,1.6,38.0,8.5,8.4,5.7,3.3,1.26,0.2,1.3,2.0
"M6",1.0,2.0,38.0,10.0,9.9,6.8,3.9,1.66,0.25,1.6,2.5
"M8",1.25,2.5,38.0,13.0,12.85,9.2,5.0,2.06,0.4,2.0,3.2
"M10",1.5,3.0,38.0,16.0,15.85,11.2,6.0,2.56,0.4,2.4,3.8

"DIN84length"
"Nominal","Min","Max"
"2",1.8,2.2
"3",2.8,3.2
"4",3.76,4.24
"5",4.76,5.24
"6",5.76,6.24
"8",7.71,8.29
"10",9.71,10.29
"12",11.65,12.35
"14",13.65,14.35
"16",15.65,16.35
"18",17.65,18.35
"20",19.58,20.42
"22",21.58,22.42
"25",24.58,25.42
"28",27.58,28.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.05,55.95
"60",59.05,60.95
"65",64.05,65.95
"70",69.05,70.95
"75",74.05,75.95
"80",79.05,80.95

"DIN84range"
"Dia","Min_L","Max_L"
"M1","2","10"
"M1.2","2","12"
"M1.4","2","14"
"M1.6","2","16"
"(M1.8)","2","18"
"M2","3","20"
"M2.5","3","25"
"M3","4","30"
"(M3.5)","5","35"
"M4","5","40"
"M5","6","50"
"M6","8","60"
"M8","10","80"
"M10","12","80"
