"DIN7979def"
"Dia","d_1","a_2","c_1","c_2","d_2", "P", "t_1", "t_2"
"4 mm",4,0.5,0.4,1.3,3,0.5,6,7
"5 mm",5,0.6,0.5,1.7,3,0.5,6,7
"6 mm",6,0.8,0.6,2.1,4,0.7,6,10
"8 mm",8,1,0.8,2.6,5,0.8,8,12
"10 mm",10,1.2,1,3,6,1,10,16
"12 mm",12,1.6,1.2,3.8,6,1,10,16
"14 mm",14,1.8,1.4,4,8,1.25,12,20
"16 mm",16,2,1.6,4.7,8,1.25,12,20
"20 mm",20,2.5,2,6,10,1.5,16,25
"25 mm",25,3,2.5,6,16,2,24,34
"30 mm",30,4,3,7,20,2.5,30,42
"40 mm",40,5,4,8,20,2.5,30,42

"DIN7979length"
"nom","min","max"
"10",9.5,10.5
"12",11.5,12.5
"14",13.5,14.5
"16",15.5,16.5
"18",17.5,18.5
"20",19.5,20.5
"22",21.5,22.5
"24",23.5,24.5
"26",25.5,26.5
"28",27.5,28.5
"30",29.5,30.5
"32",31.5,32.5
"36",35.5,36.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.25,55.75
"60",59.25,60.75
"70",69.25,70.75
"80",79.25,80.75
"90",89.25,90.75
"100",99.25,100.75
"110",109.25,110.75
"120",119.25,120.75
"130",129.25,130.75
"140",139.25,140.75
"150",149.25,150.75
"160",159.25,160.75

"DIN7979range"
"Dia","min_L","max_L"
"4 mm","10","40"
"5 mm","12","60"
"6 mm","12","80"
"8 mm","16","120"
"10 mm","16","140"
"12 mm","18","160"
"14 mm","28","160"
"16 mm","28","160"
"20 mm","32","160"
"25 mm","40","160"
"30 mm","50","160"
